!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
ACCENTING	ˈæ k s ɛ n t ɪ ŋ
ACCENTS	ˈæ k s ɛ n t s
ACCENTUATE	æ k ˈs ɛ n t ʃ uː e ɪ t
ACCENTUATED	æ k ˈs ɛ n t ʃ uː ˌe ɪ t ɪ d
ACCENTUATES	æ k ˈs ɛ n t ʃ uː ˌe ɪ t s
ACCENTUATING	æ k ˈs ɛ n t ʃ uː ˌe ɪ t ɪ ŋ
ACCEPT	æ k ˈs ɛ p t
ACCEPT	ə k ˈs ɛ p t
ACCEPTABILITY	ə k ˌs ɛ p t ə ˈb ɪ l ə t i
ACCEPTABLE	æ k ˈs ɛ p t ə b ə l
ACCEPTABLE	ə k ˈs ɛ p t ə b ə l
ACCEPTABLY	æ k ˈs ɛ p t ə b l i
ACCEPTABLY	ə k ˈs ɛ p t ə b l i
ACCEPTANCE	æ k ˈs ɛ p t ə n s
ACCEPTANCE	ə k ˈs ɛ p t ə n s
ACCEPTANCES	æ k ˈs ɛ p t ə n s ɪ z
ACCEPTED	æ k ˈs ɛ p t ɪ d
ACCEPTING	æ k ˈs ɛ p t ɪ ŋ
ACCEPTING	ə k ˈs ɛ p t ɪ ŋ
ACCEPTS	æ k ˈs ɛ p t s
ACCESS	ˈæ k ˌs ɛ s
ACCESSED	ˈæ k ˌs ɛ s t
ACCESSIBILITY	ˌæ k s ɛ s ə ˈb ɪ l ɪ t i
ACCESSIBLE	æ k ˈs ɛ s ə b ə l
ACCESSING	ˈæ k ˌs ɛ s ɪ ŋ
ACCESSION	ə k ˈs ɛ ʃ ə n
ACCESSORIES	æ k ˈs ɛ s ɝ iː z
ACCESSORIZE	æ k ˈs ɛ s ɝ ˌa ɪ z
ACCESSORIZED	æ k ˈs ɛ s ɝ ˌa ɪ z d
ACCESSORY	æ k ˈs ɛ s ɝ i
ACCETTA	ɑː ˈt ʃ ɛ t ə
ACCIDENT	ˈæ k s ə d ə n t
ACCIDENT'S	ˈæ k s ə d ə n t s
ACCIDENTAL	ˌæ k s ə ˈd ɛ n t ə l
ACCIDENTAL	ˌæ k s ə ˈd ɛ n ə l
ACCIDENTALLY	ˌæ k s ə ˈd ɛ n t ə l i
ACCIDENTALLY	ˌæ k s ə ˈd ɛ n ə l i
ACCIDENTLY	ˈæ k s ə d ə n t l i
ACCIDENTS	ˈæ k s ə d ə n t s
ACCION	ˈæ t ʃ iː ə n
ACCIVAL	ˈæ s ɪ ˌv ɑː l
ACCLAIM	ə ˈk l e ɪ m
ACCLAIM'S	ə ˈk l e ɪ m z
ACCLAIMED	ə ˈk l e ɪ m d
ACCLAIMING	ə ˈk l e ɪ m ɪ ŋ
ACCLAIMS	ə ˈk l e ɪ m z
ACCLAMATION	ˌæ k l ə ˈm e ɪ ʃ ə n
ACCLIMATE	ˈæ k l ə ˌm e ɪ t
ACCLIMATED	ˈæ k l ə ˌm e ɪ t ɪ d
ACCLIMATION	ˌæ k l ə ˈm e ɪ ʃ ə n
ACCO	ˈæ k o ʊ
ACCOKEEK	ˈæ k o ʊ k iː k
ACCOLA	ɑː ˈk o ʊ l ə
ACCOLADE	ˈæ k ə ˌl e ɪ d
ACCOLADES	ˈæ k ə ˌl e ɪ d z
ACCOMANDO	ɑː k o ʊ ˈm ɑː n d o ʊ
ACCOMMODATE	ə ˈk ɑː m ə ˌd e ɪ t
ACCOMMODATED	ə ˈk ɑː m ə ˌd e ɪ t ə d
ACCOMMODATES	ə ˈk ɑː m ə ˌd e ɪ t s
ACCOMMODATING	ə ˈk ɑː m ə ˌd e ɪ t ɪ ŋ
ACCOMMODATION	ə ˌk ɑː m ə ˈd e ɪ ʃ ə n
ACCOMMODATIONS	ə ˌk ɑː m ə ˈd e ɪ ʃ ə n z
ACCOMMODATIVE	ə ˈk ɑː m ə ˌd e ɪ t ɪ v
ACCOMPANIED	ə ˈk ʌ m p ə n iː d
ACCOMPANIES	ə ˈk ʌ m p ə n iː z
ACCOMPANIMENT	ə ˈk ʌ m p n ɪ m ə n t
ACCOMPANIMENT	ə ˈk ʌ m p n iː m ə n t
ACCOMPANIMENTS	ə ˈk ʌ m p n ɪ m ə n t s
ACCOMPANIMENTS	ə ˈk ʌ m p n iː m ə n t s
ACCOMPANIST	ə ˈk ʌ m p ə n ə s t
ACCOMPANY	ə ˈk ʌ m p ə n i
ACCOMPANYING	ə ˈk ʌ m p ə n iː ɪ ŋ
ACCOMPLI	ˌɑː ˈk ɑː m p l i
ACCOMPLI	ə ˈk ɑː m p l i
ACCOMPLICE	ə ˈk ɑː m p l ə s
ACCOMPLICES	ə ˈk ɑː m p l ə s ə z
ACCOMPLISH	ə ˈk ɑː m p l ɪ ʃ
ACCOMPLISHED	ə ˈk ɑː m p l ɪ ʃ t
ACCOMPLISHES	ə ˈk ɑː m p l ɪ ʃ ɪ z
ACCOMPLISHING	ə ˈk ɑː m p l ɪ ʃ ɪ ŋ
ACCOMPLISHMENT	ə ˈk ɑː m p l ɪ ʃ m ə n t
ACCOMPLISHMENTS	ə ˈk ɑː m p l ɪ ʃ m ə n t s
ACCOR	ˈæ ˌk ɔ r
ACCOR'S	ˈæ k ɝ z
ACCORD	ə ˈk ɔ r d
ACCORD'S	ə ˈk ɔ r d z
ACCORDANCE	ə ˈk ɔ r d ə n s
ACCORDED	ə ˈk ɔ r d ɪ d
ACCORDING	ə ˈk ɔ r d ɪ ŋ
ACCORDINGLY	ə ˈk ɔ r d ɪ ŋ l i
ACCORDION	ə ˈk ɔ r d iː ə n
ACCORDIONS	ə ˈk ɔ r d iː ə n z
ACCORDS	ə ˈk ɔ r d z
ACCOST	ə ˈk ɔ s t
ACCOSTED	ə ˈk ɑː s t ə d
ACCOSTING	ə ˈk ɑː s t ɪ ŋ
ACCOUNT	ə ˈk a ʊ n t
ACCOUNT'S	ə ˈk a ʊ n t s
ACCOUNTABILITY	ə ˈk a ʊ n t ə ˌb ɪ l ɪ t i
ACCOUNTABLE	ə ˈk a ʊ n t ə b ə l
ACCOUNTANCY	ə ˈk a ʊ n t ə n t ˌs iː
ACCOUNTANT	ə ˈk a ʊ n t ə n t
ACCOUNTANT'S	ə ˈk a ʊ n t ə n t s
ACCOUNTANTS	ə ˈk a ʊ n t ə n t s
ACCOUNTANTS'	ə ˈk a ʊ n t ə n t s
ACCOUNTED	ə ˈk a ʊ n t ɪ d
ACCOUNTEMP	ə ˈk a ʊ n ˌt ɛ m p
ACCOUNTEMPS	ə ˈk a ʊ n ˌt ɛ m p s
ACCOUNTING	ə ˈk a ʊ n t ɪ ŋ
ACCOUNTING	ə ˈk a ʊ n ɪ ŋ
ACCOUNTS	ə ˈk a ʊ n t s
ACCOUTERMENT	ə ˈk uː t ɝ m ə n t
ACCOUTERMENTS	ə ˈk uː t ɝ m ə n t s
ACCOUTREMENT	ə ˈk uː t ɝ m ə n t
ACCOUTREMENTS	ə ˈk uː t ɝ m ə n t s
ACCRA	ˈɑː ˌk r ɑː
ACCREDIT	ə ˈk r ɛ ˌd ɪ t
ACCREDITATION	ə ˌk r ɛ d ə ˈt e ɪ ʃ ə n
ACCREDITATIONS	ə ˌk r ɛ d ə ˈt e ɪ ʃ ə n z
ACCREDITED	ə ˈk r ɛ d ɪ t ɪ d
ACCREDITING	ə ˈk r ɛ d ə t ɪ ŋ
ACCRETED	ə ˈk r iː t ɪ d
ACCRETION	ə ˈk r iː ʃ ə n
ACCRUAL	ə ˈk r uː ə l
ACCRUALS	ə ˈk r uː ə l z
ACCRUE	ə ˈk r uː
ACCRUED	ə ˈk r uː d
ACCRUES	ə ˈk r uː z
ACCRUING	ə ˈk r uː ɪ ŋ
ACCU	ˈæ k j uː
ACCUHEALTH	ˈæ k j uː ˌh ɛ l θ
ACCUMULATE	ə ˈk j uː m j ə ˌl e ɪ t
ACCUMULATED	ə ˈk j uː m j ə ˌl e ɪ t ɪ d
ACCUMULATES	ə ˈk j uː m j ə ˌl e ɪ t s
ACCUMULATING	ə ˈk j uː m j ə ˌl e ɪ t ɪ ŋ
ACCUMULATION	ə ˌk j uː m j ə ˈl e ɪ ʃ ə n
ACCUMULATIONS	ə ˌk j uː m j ə ˈl e ɪ ʃ ə n z
ACCUMULATIVE	ə ˈk j uː m j ə ˌl e ɪ t ɪ v
ACCUMULATIVELY	ə ˈk j uː m j ə ˌl e ɪ t ɪ v l i
ACCUMULATIVELY	ə ˈk j uː m j ə l ə ˌt ɪ v l i
ACCUMULATOR	ə ˈk j uː m j ə ˌl e ɪ t ɝ
ACCUMULATORS	ə ˈk j uː m j ə ˌl e ɪ t ɝ z
ACCURACIES	ˈæ k j ɝ ə s iː z
ACCURACY	ˈæ k j ɝ ə s i
ACCURATE	ˈæ k j ɝ ə t
ACCURATELY	ˈæ k j ɝ ə t l i
ACCURAY	ˈæ k j ɝ ˌe ɪ
ACCURAY'S	ˈæ k j ɝ ˌe ɪ z
ACCURIDE	ˈæ k j ɝ ˌa ɪ d
ACCURSO	ɑː ˈk ʊ r s o ʊ
ACCUSATION	ˌæ k j ə ˈz e ɪ ʃ ə n
ACCUSATION	ˌæ k j uː ˈz e ɪ ʃ ə n
ACCUSATIONS	ˌæ k j ə ˈz e ɪ ʃ ə n z
ACCUSATIONS	ˌæ k j uː ˈz e ɪ ʃ ə n z
ACCUSATIVE	ə ˈk j uː z ə t ɪ v
ACCUSATORY	ə ˈk j uː z ə ˌt ɔ r i
ACCUSE	ə ˈk j uː z
ACCUSED	ə ˈk j uː z d
ACCUSER	ə ˈk j uː z ɝ
ACCUSERS	ə ˈk j uː z ɝ z
ACCUSES	ə ˈk j uː z ɪ z
ACCUSING	ə ˈk j uː z ɪ ŋ
ACCUSINGLY	ə ˈk j uː z ɪ ŋ l i
ACCUSTOM	ə ˈk ʌ s t ə m
ACCUSTOMED	ə ˈk ʌ s t ə m d
ACCUTANE	ˈæ k j uː ˌt e ɪ n
ACE	ˈe ɪ s
ACECOMM	ˈe ɪ s k ɑː m
ACED	ˈe ɪ s t
ACER	ˈe ɪ s ɝ
ACERBIC	ə ˈs ɛ r b ɪ k
ACERO	ə ˈs ɛ r o ʊ
ACERO	ə s ˈj ɛ r o ʊ
ACERO	ə ˈθ ɛ r o ʊ
ACERRA	ə ˈs ɛ r ə
ACES	ˈe ɪ s ɪ z
ACETAMINOPHEN	ə ˌs iː t ə ˈm ɪ n ə f ə n
ACETATE	ˈæ s ə ˌt e ɪ t
ACETIC	ə ˈs ɛ t ɪ k
ACETIC	ə ˈs iː t ɪ k
ACETO	ɑː ˈs ɛ t o ʊ
ACETOCHLOR	ɑː ˈs ɛ t o ʊ ˌk l ɔ r
ACETONE	ˈæ s ə ˌt o ʊ n
ACETOSYRINGONE	ə ˌs ɛ t o ʊ ˈs ɪ r ɪ ŋ g ɔ n
ACETYLCHOLINE	ə ˌs ɛ t ə l ˈk o ʊ l iː n
ACETYLCHOLINE	ə ˌs iː t ə l ˈk o ʊ l iː n
ACETYLENE	ə ˈs ɛ t ə ˌl iː n
ACEVEDO	æ s ə ˈv e ɪ d o ʊ
ACEVES	ɑː ˈs e ɪ v ɛ s
ACEY	ˈe ɪ s i
ACHAEAN	ə ˈt ʃ iː ə n
ACHATZ	ˈæ k ə t s
ACHE	ˈe ɪ k
ACHEBE	ɑː ˈt ʃ e ɪ b i
ACHED	ˈe ɪ k t
ACHEE	ə ˈt ʃ iː
ACHENBACH	ˈæ k ɪ n b ɑː k
ACHENBAUM	ˈæ k ə n ˌb a ʊ m
ACHES	ˈe ɪ k s
ACHESON	ˈæ t ʃ ə s ə n
ACHESON'S	ˈæ t ʃ ə s ə n z
ACHESONS	ˈæ t ʃ ə s ə n z
ACHEY	ˈæ t ʃ i
ACHIEVA	ə ˈt ʃ iː v ə
ACHIEVABLE	ə ˈt ʃ iː v ə b ə l
ACHIEVE	ə ˈt ʃ iː v
ACHIEVED	ə ˈt ʃ iː v d
ACHIEVEMENT	ə ˈt ʃ iː v m ə n t
ACHIEVEMENTS	ə ˈt ʃ iː v m ə n t s
ACHIEVER	ə ˈt ʃ iː v ɝ
ACHIEVERS	ə ˈt ʃ iː v ɝ z
ACHIEVES	ə ˈt ʃ iː v z
ACHIEVING	ə ˈt ʃ iː v ɪ ŋ
ACHILLE	ə ˈk ɪ l i
ACHILLES	ə ˈk ɪ l iː z
ACHILLES'	ə ˈk ɪ l iː z
ACHING	ˈe ɪ k ɪ ŋ
ACHINGLY	ˈe ɪ k ɪ ŋ l i
ACHMED	ˈɑː h m ɛ d
ACHOA	ə ˈt ʃ o ʊ ə
ACHOA'S	ə ˈt ʃ o ʊ ə z
ACHOO	ˌɑː ˈt ʃ uː
ACHOR	ˈe ɪ k ɝ
ACHORD	ˈæ k ɔ r d
ACHORN	ˈæ k ɝ n
ACHTENBERG	ˈæ k t ɛ n b ɝ g
ACHTERBERG	ˈæ k t ɝ b ɝ g
ACHY	ˈe ɪ k i
ACID	ˈæ s ə d
ACIDIC	ə ˈs ɪ d ɪ k
ACIDIFICATION	ə ˌs ɪ d ə f ə ˈk e ɪ ʃ ə n
ACIDIFIED	ə ˈs ɪ d ə ˌf a ɪ d
ACIDIFIES	ə ˈs ɪ d ə ˌf a ɪ z
ACIDIFY	ə ˈs ɪ d ə ˌf a ɪ
ACIDITY	ə ˈs ɪ d ə t i
ACIDLY	ˈæ s ə d l i
ACIDOSIS	ˌæ s ə ˈd o ʊ s ə s
ACIDS	ˈæ s ə d z
ACIDURIA	ˌæ s ə ˈd ʊ r iː ə
ACIERNO	ɑː ˈs ɪ r n o ʊ
ACK	ˈæ k
ACKER	ˈæ k ɝ
ACKER'S	ˈæ k ɝ z
ACKERLEY	ˈæ k ɝ l i
ACKERLY	ˈæ k ɝ l i
ACKERMAN	ˈæ k ɝ m ə n
ACKERMANN	ˈæ k ɝ m ə n
ACKERMANVILLE	ˈæ k ɝ m ə n v ɪ l
ACKERSON	ˈæ k ɝ s ə n
ACKERT	ˈæ k ɝ t
ACKHOUSE	ˈæ k ˌh a ʊ s
ACKLAND	ˈæ k l ə n d
ACKLES	ˈæ k ə l z
ACKLEY	ˈæ k l i
ACKLIN	ˈæ k l ɪ n
ACKMAN	ˈæ k m ə n
ACKNOWLEDGE	æ k ˈn ɑː l ɪ d ʒ
ACKNOWLEDGEABLE	æ k ˈn ɑː l ɪ d ʒ ə b ə l
ACKNOWLEDGED	æ k ˈn ɑː l ɪ d ʒ d
ACKNOWLEDGEMENT	æ k ˈn ɑː l ɪ d ʒ m ə n t
ACKNOWLEDGEMENTS	æ k ˈn ɑː l ɪ d ʒ m ə n t s
ACKNOWLEDGES	æ k ˈn ɑː l ɪ d ʒ ɪ z
ACKNOWLEDGING	æ k ˈn ɑː l ɪ d ʒ ɪ ŋ
ACKNOWLEDGMENT	æ k ˈn ɑː l ɪ d ʒ m ə n t
ACKROYD	ˈæ ˌk r ɔ ɪ d
ACKROYD'S	ˈæ ˌk r ɔ ɪ d z
ACMAT	ˈæ k m æ t
ACMAT'S	ˈæ k m æ t s
ACME	ˈæ k m i
ACME'S	ˈæ k m iː z
ACNE	ˈæ k n i
ACOCELLA	ɑː k o ʊ ˈt ʃ ɛ l ə
ACOFF	ˈæ k ɔ f
ACOG	ə ˈk ɔ g
ACOLYTE	ˈæ k ə ˌl a ɪ t
ACOLYTES	ˈæ k ə ˌl a ɪ t s
ACORD	ə ˈk ɔ r d
ACORDIA	ə ˈk ɔ r d iː ə
ACORN	ˈe ɪ k ɔ r n
ACORN'S	ˈe ɪ k ɔ r n z
ACORNS	ˈe ɪ k ɔ r n z
ACOSTA	ə ˈk ɔ s t ə
ACOTT	ˈe ɪ k ɔ t
ACOUSTIC	ə ˈk uː s t ɪ k
ACOUSTICAL	ə ˈk uː s t ɪ k ə l
ACOUSTICALLY	ə ˈk uː s t ɪ k l i
ACOUSTICS	ə ˈk uː s t ɪ k s
ACQUAINT	ə ˈk w e ɪ n t
ACQUAINTANCE	ə ˈk w e ɪ n t ə n s
ACQUAINTANCES	ə ˈk w e ɪ n t ə n s ɪ z
ACQUAINTANCESHIP	ə ˈk w e ɪ n t ə n s ʃ ɪ p
ACQUAINTED	ə ˈk w e ɪ n t ɪ d
ACQUAINTED	ə ˈk w e ɪ n ɪ d
ACQUAVIVA	ɑː k w ɑː ˈv iː v ə
ACQUIESCE	ˌæ k w iː ˈɛ s
ACQUIESCED	ˌæ k w iː ˈɛ s t
ACQUIESCENCE	ˌæ k w iː ˈɛ s ə n s
ACQUIESCING	ˌæ k w iː ˈɛ s ɪ ŋ
ACQUIRE	ə ˈk w a ɪ ɝ
ACQUIRED	ə ˈk w a ɪ ɝ d
ACQUIRER	ə ˈk w a ɪ ɝ ɝ
ACQUIRER'S	ə ˈk w a ɪ ɝ ɝ z
ACQUIRERS	ə ˈk w a ɪ ɝ ɝ z
ACQUIRES	ə ˈk w a ɪ ɝ z
ACQUIRING	ə ˈk w a ɪ r ɪ ŋ
ACQUIRING	ə ˈk w a ɪ ɝ ɪ ŋ
ACQUISITION	ˌæ k w ə ˈz ɪ ʃ ə n
ACQUISITION'S	ˌæ k w ə ˈz ɪ ʃ ə n z
ACQUISITIONS	ˌæ k w ə ˈz ɪ ʃ ə n z
ACQUISITIVE	ə ˈk w ɪ z ə t ɪ v
ACQUIT	ə ˈk w ɪ t
ACQUITAINE	ˈæ k w ɪ ˌt e ɪ n
ACQUITS	ə ˈk w ɪ t s
ACQUITTAL	ə ˈk w ɪ t ə l
ACQUITTALS	ə ˈk w ɪ t ə l z
ACQUITTED	ə ˈk w ɪ t ɪ d
ACQUITTING	ə ˈk w ɪ t ɪ ŋ
ACRE	ˈe ɪ k ɝ
ACREAGE	ˈe ɪ k ə r ɪ d ʒ
ACREAGE	ˈe ɪ k r ɪ d ʒ
ACREE	ə ˈk r iː
ACRES	ˈe ɪ k ɝ z
ACREY	ˈæ k r i
ACRI	ˈɑː k r i
ACRID	ˈæ k r ɪ d
ACRIMONIOUS	ˌæ k r ə ˈm o ʊ n iː ə s
ACRIMONY	ˈæ k r ɪ ˌm o ʊ n i
ACRO	ˈæ k r o ʊ
ACROBAT	ˈæ k r ə ˌb æ t
ACROBATIC	ˌæ k r ə ˈb æ t ɪ k
ACROBATICS	ˌæ k r ə ˈb æ t ɪ k s
ACROBATS	ˈæ k r ə ˌb æ t s
ACROLEIN	ˈæ k r o ʊ ˌl iː n
ACRONYM	ˈæ k r ə n ɪ m
ACRONYMS	ˈæ k r ə n ɪ m z
ACROPOLIS	ə ˈk r ɑː p ə l ə s
ACROSS	ə ˈk r ɔ s
ACRYLIC	ə ˈk r ɪ l ɪ k
ACRYLICS	ə ˈk r ɪ l ɪ k s
ACT	ˈæ k t
ACT'S	ˈæ k t s
ACTAVA	ˌæ k ˈt ɑː v ə
ACTAVA'S	ˌæ k ˈt ɑː v ə z
ACTAVAS	ˌæ k ˈt ɑː v ə z
ACTED	ˈæ k t ɪ d
ACTEL	ˈæ k t ɛ l
ACTIGALL	ˈæ k t ɪ g ɔ l
ACTIN	ˈæ k t ə n
ACTING	ˈæ k t ɪ ŋ
ACTINIDE	ˈæ k t ɪ ˌn a ɪ d
ACTINIDIA	ˌæ k t ɪ ˈn ɪ d iː ə
ACTINOMYCOSIS	ˌæ k ˌt ɪ n o ʊ ˌm a ɪ ˈk o ʊ s ɪ s
ACTION	ˈæ k ʃ ə n
ACTION'S	ˈæ k ʃ ə n z
ACTIONABLE	ˈæ k ʃ ə n ə b ə l
ACTIONS	ˈæ k ʃ ə n z
ACTIVASE	ˈæ k t ɪ ˌv e ɪ z
ACTIVATE	ˈæ k t ə ˌv e ɪ t
ACTIVATED	ˈæ k t ɪ ˌv e ɪ t ɪ d
ACTIVATES	ˈæ k t ə ˌv e ɪ t s
ACTIVATING	ˈæ k t ə ˌv e ɪ t ɪ ŋ
ACTIVATION	ˌæ k t ə ˈv e ɪ ʃ ə n
ACTIVATOR	ˈæ k t ə ˌv e ɪ t ɝ
ACTIVE	ˈæ k t ɪ v
ACTIVE'S	ˈæ k t ɪ v z
ACTIVELY	ˈæ k t ɪ v l i
ACTIVES	ˈæ k t ɪ v z
ACTIVISION	ˈæ k t ɪ ˌv ɪ ʒ ə n
ACTIVISM	ˈæ k t ɪ ˌv ɪ z ə m
ACTIVIST	ˈæ k t ɪ v ɪ s t
ACTIVISTS	ˈæ k t ɪ v ɪ s t s
ACTIVISTS'	ˈæ k t ɪ v ɪ s t s
ACTIVITIES	æ k ˈt ɪ v ɪ t iː z
ACTIVITY	æ k ˈt ɪ v ɪ t i
ACTMEDIA	æ k t ˈm iː d iː ə
ACTODINE	ˈæ k t o ʊ ˌd a ɪ n
ACTON	ˈæ k t ə n
ACTOR	ˈæ k t ɝ
ACTOR'S	ˈæ k t ɝ z
ACTORS	ˈæ k t ɝ z
ACTORS'	ˈæ k t ɝ z
ACTRESS	ˈæ k t r ə s
ACTRESS'S	ˈæ k t r ə s ɪ z
ACTRESSES	ˈæ k t r ə s ɪ z
ACTS	ˈæ k t s
ACTS	ˈæ k s
ACTUAL	ˈæ k t ʃ ə w ə l
ACTUAL	ˈæ k ʃ ə l
ACTUALITY	ˌæ k t ʃ uː ˈæ l ə ˌt iː
ACTUALIZE	ˈæ k ˌt ʃ uː ə ˌl a ɪ z
ACTUALLY	ˈæ k ˌt ʃ uː ə l i
ACTUALLY	ˈæ k t ʃ l i
ACTUALLY	ˈæ k ʃ ə l i
ACTUARIAL	ˌæ k ˌt ʃ uː ˈɛ r iː ə l
ACTUARIES	ˈæ k ˌt ʃ uː ˈɛ ˌr iː z
ACTUARY	ˈæ k t ʃ uː ˈɛ ˌr iː
ACTUATE	ˈæ k ˌt ʃ uː ˈe ɪ t
ACTUATOR	ˈæ k t j uː ˌe ɪ t ɝ
ACTUATOR	ˈæ k t ʃ uː ˌe ɪ t ɝ
ACTUATORS	ˈæ k t j uː ˌe ɪ t ɝ z
ACTUATORS	ˈæ k t ʃ uː ˌe ɪ t ɝ z
ACTUS	ˈæ k t ə s
ACUFF	ə ˈk ʌ f
ACUITY	ə ˈk j uː ə t i
ACUMEN	ə ˈk j uː m ə n
ACUNA	ɑː ˈk uː n ə
ACUPUNCTURE	ˈæ k j uː ˌp ə ŋ k t ʃ ɝ
ACURA	ˈæ k j ɝ ə
ACURA'S	ˈæ k j ɝ ə z
ACURAS	ˈæ k j ɝ ə z
ACUSON	ˌæ ˈk j uː s ə n
ACUSTAR	ˈæ k j uː ˌs t ɑː r
ACUSYST	ˈæ k j uː s ɪ s t
ACUTE	ə ˈk j uː t
ACUTELY	ə ˈk j uː t l i
ACUTENESS	ə ˈk j uː t n ə s
ACYCLOVIR	ə ˈs ɪ k l o ʊ ˌv ɪ r
AD	ˈæ d
AD'S	ˈæ d z
AD-HOC	ˈæ d ˈh ɑː k
AD-LIB	ˈæ d ˈl ɪ b
AD-NAUSEAM	ˈæ d ˈn ɔ z iː ɑː m
AD-NAUSEUM	ˈæ d ˈn ɔ z iː ə m
ADA	ˈe ɪ d ə
ADA'S	ˈe ɪ d ə z
ADABEL	ˈæ d ə b ɛ l
ADABELLE	ˈæ d ə b ə l
ADACHI	ɑː ˈd ɑː k i
ADAGE	ˈæ d ə d ʒ
ADAGIO	ə ˈd ɑː ʒ iː ˌo ʊ
ADAH	ˈæ d ɑː
ADAIR	ə ˈd ɛ r
ADAIRE	ɑː ˈd ɛ r
ADAK	ə ˈd æ k
ADALAH	ɑː ˈd ɑː l ə
ADALIA	ɑː ˈd ɑː l iː ə
ADAM	ˈæ d ə m
ADAM'S	ˈæ d ə m z
ADAMANT	ˈæ d ə m ə n t
ADAMANTLY	ˈæ d ə m ə n t l i
ADAMCIK	ˈɑː d ə m t ʃ ɪ k
ADAMCZAK	ˈɑː d ə m t ʃ æ k
ADAMCZYK	ˈɑː d ə m t ʃ ɪ k
ADAME	ɑː ˈd ɑː m i
ADAMEC	ə ˈd ɑː m ɛ k
ADAMEK	ə ˈd ɑː m ɛ k
ADAMES	ə ˈd e ɪ m z
ADAMI	ɑː ˈd ɑː m i
ADAMIK	ə ˈd ɑː m ɪ k
ADAMINA	ɑː d ɑː ˈm iː n ə
ADAMKUS	ˈæ d ə m k ə s
ADAMO	ɑː ˈd ɑː m o ʊ
ADAMOWICZ	ə ˈd ɑː m ə v ɪ t ʃ
ADAMS	ˈæ d ə m z
ADAMS'	ˈæ d ə m z
ADAMS'S	ˈæ d ə m z ɪ z
ADAMSKI	ə ˈd æ m ˌs k iː
ADAMSON	ˈæ d ə m s ə n
ADAMSTOWN	ˈæ d ə m ˌs t a ʊ n
ADAN	ˈe ɪ d ə n
ADAPSO	ə ˈd æ p s o ʊ
ADAPT	ə ˈd æ p t
ADAPTABILITY	ə ˌd æ p t ə ˈb ɪ l ə t i
ADAPTABLE	ə ˈd æ p t ə b ə l
ADAPTAPLEX	ə ˈd æ p t ə ˌp l ɛ k s
ADAPTATION	ˌæ d ə p ˈt e ɪ ʃ ə n
ADAPTATIONS	ˌæ d æ p ˈt e ɪ ʃ ə n z
ADAPTATIONS	ˌæ d ə p ˈt e ɪ ʃ ə n z
ADAPTEC	ə ˈd æ p ˌt ɛ k
ADAPTEC'S	ə ˈd æ p ˌt ɛ k s
ADAPTED	ə ˈd æ p t ɪ d
ADAPTER	ə ˈd æ p t ɝ
ADAPTERS	ə ˈd æ p t ɝ z
ADAPTING	ə ˈd æ p t ɪ ŋ
ADAPTIVE	ə ˈd æ p t ɪ v
ADAPTOR	ə ˈd æ p t ɝ
ADAPTORS	ə ˈd æ p t ɝ z
ADAPTS	ə ˈd æ p t s
ADAR	ə ˈd ɑː r
ADARAND	ˈæ d ə ˌr æ n d
ADAS	ˈe ɪ d ə z
ADAY	ə ˈd e ɪ
ADAZA	ə ˈd ɑː z ə
ADCOCK	ə d ˈk ɑː k
ADCOX	ə d ˈk ɑː k s
ADD	ˈæ d
ADDAIR	ə ˈd ɛ r
ADDAMS	ˈæ d ə m z
ADDED	ˈæ d ɪ d
ADDENDUM	ə ˈd ɛ n d ə m
ADDENDUMS	ə ˈd ɛ n d ə m z
ADDEO	ˈɑː d iː o ʊ
ADDER	ˈæ d ɝ
ADDERLEY	ə ˈd ɝː l i
ADDICKS	ˈæ d ɪ k s
ADDICT	ə ˈd ɪ k t
ADDICT	ˈæ ˌd ɪ k t
ADDICTED	ə ˈd ɪ k t ɪ d
ADDICTING	ə ˈd ɪ k t ɪ ŋ
ADDICTION	ə ˈd ɪ k ʃ ə n
ADDICTIONS	ə ˈd ɪ k ʃ ə n z
ADDICTIVE	ə ˈd ɪ k t ɪ v
ADDICTS	ə ˈd ɪ k t s
ADDICTS	ˈæ ˌd ɪ k t s
ADDIDAS	ə ˈd iː d ə s
ADDIDAS'	ə ˈd iː d ə s
ADDIDAS'S	ə ˈd iː d ə s ɪ z
ADDIDASES	ə ˈd iː d ə s ɪ z
ADDIE	ˈæ d i
ADDING	ˈæ d ɪ ŋ
ADDINGTON	ˈæ d ɪ ŋ t ə n
ADDIS	ˈɑː d ɪ s
ADDIS-ABABA	ˈɑː d ɪ s ə ˈb ɑː b ɑː
ADDIS-ABABA	ˈɑː d iː s ə ˈb ɑː b ɑː
ADDISON	ˈæ d ɪ s ə n
ADDISON'S	ˈæ d ɪ s ə n z
ADDITION	ə ˈd ɪ ʃ ə n
ADDITIONAL	ə ˈd ɪ ʃ ə n ə l
ADDITIONALLY	ə ˈd ɪ ʃ ə ˌn ə l i
ADDITIONS	ə ˈd ɪ ʃ ə n z
ADDITIVE	ˈæ d ɪ t ɪ v
ADDITIVES	ˈæ d ɪ t ɪ v z
ADDLE	ˈæ d ə l
ADDLED	ˈæ d ə l d
ADDLEMAN	ˈæ d ə l m ə n
