1/2	h ˈɑ f
bitten	b ˈɪ t ə n
bitter	b ˈɪ t ɚ
bitters	b ˈɪ t ɚ z
bizarre	b ɪ z ˈɑ ɹ
black	b l ˈæ k
blackbird	b l ˈæ k b ɚ d
blackout	b l ˈæ k ˌa ʊ t
bladder	b l ˈæ d ɚ
blade	b l ˈe ɪ d
blades	b l ˈe ɪ d z
blame	b l ˈe ɪ m
blaming	b l ˈe ɪ m ɪ ŋ
bland	b l ˈæ n d
blank	b l ˈæ ŋ k
blanket	b l ˈæ ŋ k ɪ t
blankets	b l ˈæ ŋ k ɪ t s
blast	b l ˈæ s t
bleak	b l ˈi k
bleat	b l ˈi t
bleating	b l ˈi t ɪ ŋ ɡ
bleats	b l ˈi t s
bleed	b l ˈi d
bleeds	b l ˈi d z
blend	b l ˈɛ n d
blends	b l ˈɛ n d z
blessed	b l ˈɛ s ɪ d
blessed	b l ˈɛ s t
blessing	b l ˈɛ s ɪ ŋ
blew	b l ˈu
blight	b l ˈa ɪ t
blind	b l ˈa ɪ n d
blinds	b l ˈa ɪ n d z
blink	b l ˈɪ ŋ k
blinked	b l ˈɪ ŋ k t
blinking	b l ˈɪ ŋ k ɪ ŋ
blinks	b l ˈɪ ŋ k s
blob	b l ˈɑ b
blobs	b l ɑ b z
block	b l ˈɑ k
blocked	b l ˈɑ k t
blocking	b l ˈɔ k ˈi ŋ
blocks	b l ˈɑ k s
blog	b l ˈɔ ɡ
blood	b l ˈʌ d
bloom	b l ˈu m
blooms	b l ˈu m z
blossom	b l ˈɑ s ə m
blossoms	b l ˈɑ s ə m z
blotches	b l ˈɑ t t͡ʃ ə z
blow	b l ˈo ʊ
blowhole	b l ˈo ʊ h ˈo ʊ l
blowing	b l ˈo ʊ ɪ ŋ
blown	b l o ʊ n
blows	b l ˈo ʊ z
blue	b l ˈu
blue's	b l ˈu z
blues	b l ˈu z
bluish	b l ˈu ɪ ʃ
blush	b l ˈʌ ʃ
blushing	b l ˈʌ ʃ ɪ ŋ
board	b ˈɔ ɹ d
boarded	b ˈɔ ɹ d ɪ d
boarded-up	b ˈɔ ɹ d ɪ d ˈʌ p
boards	b ˈɔ ɹ d z
boars	b ˈɔ ɹ z
boast	b ˈo ʊ s t
boasts	b ˈo ʊ s t s
boat	b ˈo ʊ t
boating	b ˈo ʊ t ɪ ŋ
boats	b ˈo ʊ t s
bob	b ˈɑ b
bobbed	b ˈɑ b d
bobber	b ˈɑ b ɚ
bobbing	b ˈɑ b ɪ ŋ
bobs	b ˈɑ b z
bode	b ˈo ʊ d
bodies	b ˈɑ d i z
body	b ˈɑ d i
bog	b ˈɔ ɡ
boil	b ˈɔ ɪ l
boils	b ˈɔ ɪ l z
boing	b ˈɔ ɪ ŋ
bold	b ˈo ʊ l d
boldly	b ˈo ʊ l d l i
bolt	b ˈo ʊ l t
bolted	b ˈo ʊ l t ɪ d
bolts	b ˈo ʊ l t s
bomb	b ˈɑ m
bon	b ˈɑ n
bon's	b ˈɑ n z
bond	b ˈɑ n d
bonded	b ˈɑ n d ɪ d
bone	b ˈo ʊ n
bonemeal	b ˈo ʊ n m ˌi l
bones	b ˈo ʊ n z
bonk	b ˈɑ ŋ k
bonus	b o ʊ n ə s
bony	b ˈo ʊ n i
boo	b ˈu
book	b ˈʊ k
book's	b ˈʊ k s
bookbot	b ˈʊ k b ˈɔ t
bookbot's	b ˈʊ k b ˈɔ t s
bookbots	b ˈʊ k b ˈɔ t s
bookcase	b ˈʊ k k ˌe ɪ s
bookcases	b ˈʊ k k ˌe ɪ s ə z
books	b ˈʊ k s
bookshelf	b ˈʊ k ʃ ˌɛ l f
bookshelves	b ˈʊ k ʃ ˈɛ l v z
bookshop	b ˈʊ k ʃ ˌɑ p
bookworm	b ˈʊ k w ˌɚ m
boom	b ˈu m
boombox	b ˈʊ m b ˌɑ k s
booms	b ˈu m z
boot	b ˈu t
booted	b ˈu t ɪ d
boots	b ˈu t s
bop	b ˈɑ p
border	b ˈɔ ɹ d ɚ
bore	b ˈɔ ɹ
bored	b ˈɔ ɹ d
boring	b ˈɔ ɹ ɪ ŋ
born	b ˈɔ ɹ n
borneo	b ˈɔ ɹ n ˈi ˈo ʊ
borrow	b ˈɑ ɹ o ʊ
boss	b ˈɔ s
bot	b ˈɔ t
botanist	b ˈɑ t ə n ɪ s t
both	b ˈo ʊ θ
bother	b ˈɑ ð ɚ
bothered	b ˈɑ ð ɚ d
bots	b ˈɔ t s
bottle	b ˈɑ t ə l
bottled	b ˈɑ t ə l d
bottles	b ˈɑ t ə l z
bottom	b ˈɑ t ə m
boudoir	b ˈu d ˌɔ ɪ ɹ
bough	b ˈa ʊ
bought	b ˈɔ t
boulder	b ˈo ʊ l d ɚ
bounce	b ˈa ʊ n s
bounced	b ˈa ʊ n s t
bounces	b ˈa ʊ n s ɪ z
bouncy	b ˈa ʊ n s ˈi
bound	b ˈa ʊ n d
boundary	b ˈa ʊ n d ɚ ɹ i
bounded	b ˈa ʊ n d ɪ d
bounds	b ˈa ʊ n d z
bounty	b ˈa ʊ n t i
bout	b ˈa ʊ t
bow	b ˈo ʊ
bowerbird	b ˈa ʊ w ɚ b ɚ d
bowerbirds	b ˈa ʊ w ɚ b ˈɚ d z
bowl	b ˈo ʊ l
bowls	b ˈo ʊ l z
bows	b ˈo ʊ z
box	b ˈɑ k s
boxes	b ˈɑ k s ɪ z
boxing	b ˈɑ k s ɪ ŋ
boy	b ˈɔ ɪ
boys	b ˈɔ ɪ z
bracelet	b ɹ ˈe ɪ s l ɪ t
braid	b ɹ ˈe ɪ d
braids	b ɹ ˈe ɪ d z
brain	b ɹ ˈe ɪ n
brains	b ɹ ˈe ɪ n z
brainstorm	b ɹ ˈe ɪ n s t ˌɔ ɹ m
brainstorming	b ɹ ˈe ɪ n s t ˌɔ ɹ m ɪ ŋ
brainwash	b ɹ ˈe ɪ n w ˌɑ ʃ
brainwave	b ɹ ˈe ɪ n w ˌe ɪ v
brake	b ɹ ˈe ɪ k
brakes	b ɹ ˈe ɪ k s
branch	b ɹ ˈæ n t͡ʃ
branched	b ɹ ˈæ n t͡ʃ t
branches	b ɹ ˈæ n t͡ʃ ɪ z
brand	b ɹ ˈæ n d
brands	b ɹ ˈæ n d z
brat	b ɹ ˈæ t
brave	b ɹ ˈe ɪ v
bravery	b ɹ ˈe ɪ v ɚ ɹ i
braying	b ɹ ˈe ɪ ˈɪ ŋ
breach	b ɹ ˈi t͡ʃ
bread	b ɹ ˈɛ d
break	b ɹ ˈe ɪ k
breakfast	b ɹ ˈɛ k f ə s t
breaking	b ɹ ˈe ɪ k ɪ ŋ
breaks	b ɹ ˈe ɪ k s
breath	b ɹ ˈɛ θ
breathe	b ɹ ˈi ð
breathed	b ɹ ˈi ð d
breathes	b ɹ ˈi ð z
breathing	b ɹ ˈi ð ɪ ŋ
breathless	b ɹ ˈɛ θ l ə s
bred	b ɹ ˈɛ d
breed	b ɹ ˈi d
breeding	b ɹ i d i ŋ
breeds	b ɹ ˈi d z
breeze	b ɹ ˈi z
brew	b ɹ ˈu
brewing	b ɹ ˈu ɪ ŋ
brick	b ɹ ˈɪ k
bricked	b ɹ ˈɪ k t
bricks	b ɹ ˈɪ k s
bridge	b ɹ ˈɪ d͡ʒ
bridges	b ɹ ˈɪ d͡ʒ ɪ z
brief	b ɹ ˈi f
briefly	b ɹ ˈi f l i
briefs	b ɹ ˈi f s
brigh	b ɹ ˈa ɪ t
bright	b ɹ ˈa ɪ t
brighten	b ɹ ˈa ɪ t ə n
brighter	b ɹ ˈa ɪ t ˈɚ
brightness	b ɹ ˈa ɪ t n ə s
brilliant	b ɹ ˈɪ l j ə n t
brim	b ɹ ˈɪ m
bring	b ɹ ˈɪ ŋ
bringing	b ɹ ˈɪ ŋ ɪ ŋ
brings	b ɹ ˈɪ ŋ z
brink	b ɹ ˈɪ ŋ k
brisk	b ɹ ˈɪ s k
broad	b ɹ ˈɔ d
broaden	b ɹ ˈɔ d ə n
broke	b ɹ ˈo ʊ k
broken	b ɹ ˈo ʊ k ə n
brolga	b ɹ ˈɑ l ɡ ə
brooch	b ɹ ˈo ʊ t͡ʃ
broom	b ɹ ˈu m
brooms	b ɹ ˈu m z
broth	b ɹ ˈɔ θ
brother	b ɹ ˈʌ ð ɚ
brother's	b ɹ ʌ ð ˈɚ z
brothers	b ɹ ˈʌ ð ɚ z
brought	b ɹ ˈɔ t
brow	b ɹ ˈa ʊ
brown	b ɹ ˈa ʊ n
brownish	b ɹ ˈa ʊ n ɪ ʃ
brows	b ɹ ˈa ʊ z
bruce	b ɹ ˈu s
bruise	b ɹ ˈu z
bruised	b ɹ ˈu z d
bruisers	b ɹ u z ə ɹ z
bruises	b ɹ ˈu z ɪ z
brush	b ɹ ˈʌ ʃ
brushed	b ɹ ˈʌ ʃ t
brushes	b ɹ ˈʌ ʃ ɪ z
brutal	b ɹ ˈu t ə l
brute	b ɹ ˈu t
brutes	b ɹ ˈu t s
bub	b ˈʌ b
bubbles	b ˈʌ b ə l z
bucket	b ˈʌ k ɪ t
buckets	b ˈʌ k ɪ t s
bud	b ˈʌ d
buddies	b ˈʌ d i z
buddy	b ˈʌ d i
budge	b ˈʌ d͡ʒ
budget	b ˈʌ d͡ʒ ɪ t
buds	b ˈʌ d z
buffalo	b ˈʌ f ə l o ʊ
bug	b ˈʌ ɡ
buggies	b ˈʌ ɡ i z
buggy	b ˈʌ ɡ i
bugs	b ˈʌ ɡ z
build	b ˈɪ l d
builder	b ˈɪ l d ɚ
building	b ˈɪ l d ɪ ŋ
buildings	b ɪ l d ɪ ŋ z
builds	b ˈɪ l d z
built	b ˈɪ l t
bulb	b ˈʌ l b
bulging	b ˈʌ l d͡ʒ ɪ ŋ
bulk	b ˈʌ l k
bull	b ˈʊ l
bullied	b ˈʊ l i d
bulls	b ˈʊ l z
bully	b ˈʊ l i
bullying	b ˈʊ l i ɪ ŋ
bulrush	b ˈʊ l ɹ ə ʃ
bump	b ˈʌ m p
bumped	b ˈʌ m p t
bumper	b ˈʌ m p ɚ
bumping	b ˈʌ m p ˈɪ ŋ
bumps	b ˈʌ m p s
bumpy	b ˈʌ m p i
bun	b ˈʌ n
bunburied	b ˈʌ n b ɚ ˈi d
bunch	b ˈʌ n t͡ʃ
bunches	b ˈʌ n t͡ʃ ə z
bundle	b ˈʌ n d ə l
bundles	b ʌ n d l z
bunk	b ˈʌ ŋ k
bunker	b ˈʌ ŋ k ɚ
bunks	b ˈʌ ŋ k s
bunnies	b ˈʌ n i z
bunny	b ˈʌ n i
bunyip	b ˈʌ n j ˈɪ p
bunyips	b ˈʌ n j ˈɪ p s
burger	b ˈɚ ɡ ɚ
buried	b ˈɛ ɹ i d
buries	b ˈɛ ɹ i z
burn	b ˈɚ n
burned	b ˈɚ n d
burning	b ˈɚ n ɪ ŋ
burns	b ˈɚ n z
burnt	b ˈɚ n t
burrow	b ˈɚ ɹ o ʊ
burrows	b ˈɚ ɹ o ʊ z
burst	b ˈɚ s t
bursting	b ˈɚ s t ɪ ŋ
bursts	b ˈɚ s t s
bury	b ˈɛ ɹ i
burying	b ˈɛ ɹ i ɪ ŋ
bus	b ˈʌ s
bush	b ˈʊ ʃ
bushes	b ˈʊ ʃ ɪ z
busiest	b ˌi z i ˈɛ s t
business	b ˈɪ z n ɪ s
businesses	b ˈɪ z n ɪ s ɪ z
busted	b ˈʌ s t ɪ d
bustling	b ˈʌ s l ɪ ŋ
busy	b ˈɪ z i
but	b ˈʌ t
butcher	b ˈʊ t͡ʃ ɚ
butcher's	b ˈʊ t͡ʃ ə ɹ z
butt	b ˈʌ t
butter	b ˈʌ t ɚ
butter's	b ˈʌ t ɚ z
butterflies	b ˈʌ t ɚ f l ˌa ɪ z
butterfly	b ˈʌ t t ɚ f l ˌa ɪ
button	b ˈʌ t ə n
buttons	b ˈʌ t ə n z
buy	b ˈa ɪ
buys	b ˈa ɪ z
buzz	b ˈʌ z
buzzes	b ˈʌ z ɪ z
buzzing	b ˈʌ z ɪ ŋ
by	b ˈa ɪ
bye	b ˈa ɪ
c	s ˈi
c-h	s ˈi ˈe ɪ t͡ʃ
c-i	s ˈi ˈa ɪ
c-k	s ˈi k ˈe ɪ
cab	k ˈæ b
cabin	k ˈæ b ə n
cackled	k æ k ə l d
cackling	k æ k ə l ɪ ŋ
cactus	k ˈæ k t ə s
cage	k ˈe ɪ d͡ʒ
cages	k e ɪ d͡ʒ ə z
cake	k ˈe ɪ k
cakes	k ˈe ɪ k s
calculation	k ˌæ l k j ə l ˈe ɪ ʃ ə n
calf	k ˈæ f
calico	k ˈæ l ˈɪ k ˈo ʊ
call	k ˈɔ l
called	k ˈɔ l d
calling	k ˈɔ l ɪ ŋ
calls	k ˈɔ l z
callum	k ˈæ l ə m
calm	k ˈɑ m
calming	k ˈɑ l m ɪ ŋ ɡ
calmly	k ˈɑ m l i
calms	k ˈɑ m z
calves	k ˈæ v z
cam	k ˈæ m
cam's	k ˈæ m z
came	k ˈe ɪ m
camel	k ˈæ m ə l
camera	k ˈæ m ɚ ɹ ə
cameras	k ˈæ m ɚ ɹ ə z
camouflage	k ˈæ m ə f l ˌɑ ʒ
camp	k ˈæ m p
campaigning	k æ m p ˈe ɪ n ɪ ŋ
campfire	k ˈæ m p f ˌa ɪ ɚ
can	k æ n
can't	k ˈæ n t
canal	k ə n æ l
cancel	k ˈæ n s ə l
candle	k ˈæ n d ə l
candy	k ˈæ n d i
cane	k ˈe ɪ n
canes	k ˈe ɪ n z
cannot	k æ n ˈɑ t
cans	k ˈæ n z
cant	k ɑ n t
canvas	k ˈæ n v ə s
canville	k ˌæ n v ˈɪ l
cap	k ˈæ p
capable	k ˈe ɪ p ə b ə l
capital	k ˈæ p ɪ t ə l
caps	k ˈæ p s
captain	k ˈæ p t ə n
captive	k ˈæ p t ɪ v
captivity	k æ p t ˈɪ v ə t i
capture	k ˈæ p t͡ʃ ɚ
car	k ˈɑ ɹ
card	k ˈɑ ɹ d
cardboard	k ˈɑ ɹ d b ˌɔ ɹ d
cards	k ˈɑ ɹ d
care	k ˈɛ ɹ
cared	k ˈɛ ɹ d
carefree	k ˈɛ ɹ f ɹ ˌi
careful	k ˈɛ ɹ f ə l
carefully	k ˈɛ ɹ f ə l i
careless	k ˈɛ ɹ l ə s
carelessly	k ˈɛ ɹ l ə s l i
cares	k ˈɛ ɹ z
carfeul	k ˈɛ ɹ f ə l
carnival	k ˈɑ ɹ n ɪ v ə l
carnivals	k ˈɑ ɹ n ɪ v ə l z
carnivore	k ˈɑ ɹ n ɪ v ˌɔ ɹ
carnivores	k ˈɑ ɹ n ɪ v ˌɔ ɹ z
carpenter	k ˈɑ ɹ p ə n t ɚ
carpet	k ˈɑ ɹ p ɪ t
carried	k ˈɛ ɹ ɹ i d
carrier	k ˈɛ ɹ ɹ i j ɚ
carries	k ˈɛ ɹ i z
carrot	k ˈɛ ɹ ə t
carrots	k ˈɛ ɹ ə t s
carry	k ˈɛ ɹ i
carrying	k ˈɛ ɹ i ɪ ŋ
cars	k ˈɑ ɹ z
cart	k ˈɑ ɹ t
cartographer	k ɑ t ˈɑ ɡ ɹ ə f ə
carts	k ˈɑ ɹ t s
cartwheels	k ˈɑ ɹ t w ˌi l z
carved	k ˈɑ ɹ v d
carving	k ˈɑ ɹ v ɪ ŋ
carvings	k ˈɑ ɹ v ɪ ŋ z
case	k ˈe ɪ s
cases	k ˈe ɪ s ɪ z
cash	k ˈæ ʃ
casque	k ˈæ s k
cassowaries	k ˈæ s o ʊ w ɚ ɹ i z
cassowary	k ˈæ s ə w ˌɛ ɹ i
cast	k ˈæ s t
castle	k ˈæ s ə l
castles	k ˈæ s ə l z
casts	k ˈæ s t s
casual	k ˈæ ʒ u ə l
casually	k ˈæ ʒ u ə l i
cat	k ˈæ t
cat's	k ˈæ t s
catch	k ˈæ t͡ʃ
catches	k ˈæ t͡ʃ ɪ z
catching	k ˈæ t͡ʃ ɪ ŋ
caterpillar	k ˈæ t ɚ p ˌɪ l ɚ
caterpillars	k ˈæ t ɚ p ˌɪ l ɚ z
cats	k ˈæ t s
cattle	k ˈæ t ə l
caught	k ˈɔ t
cause	k ˈɔ z
caused	k ˈɔ z d
causes	k ˈɔ z ɪ z
causing	k ˈɔ z ɪ ŋ
caution	k ˈɔ ʃ ə n
cautious	k ˈɔ ʃ ə s
cautiously	k ˈɔ ʃ ə s l i
cave	k ˈe ɪ v
cavern	k ˈæ v ɚ n
caves	k ˈe ɪ v z
cavity	k ˈæ v ə t i
caw	k ˈɔ
ceiling	s ˈi l ɪ ŋ
celebrate	s ˈɛ l ə b ɹ ˌe ɪ t
celebrated	s ˈɛ l ə b ɹ ˌe ɪ t ɪ d
celebration	s ˌɛ l ə b ɹ ˈe ɪ ʃ ə n
celery	s ˈɛ l ɚ ɹ i
cell	s ˈɛ l
cells	s ˈɛ l z
celsius	s ɛ l s ˈi ə s
center	s ˈɛ n t ɚ
centimeters	s ɛ n t ˈi m ˈi t ɚ z
centimetres	s ɛ n t ə m ˈi t ɚ z
centipede	s ˈɛ n t ɪ p ˌi d
centre	s ˈɛ n t ɚ
centred	s ɛ n t ə d
century	s ˈɛ n t͡ʃ ɚ ɹ i
certain	s ˈɚ t ə n
certainly	s ˈɚ t ə n l i
cetus	s ˈi t ə s
chain	t͡ʃ ˈe ɪ n
chair	t͡ʃ ˈɛ ɹ
chairs	t͡ʃ ˈɛ ɹ z
challenge	t͡ʃ ˈæ l ɪ n d͡ʒ
challenges	t͡ʃ ˈæ l ɪ n d͡ʒ ə z
chamber	t͡ʃ ˈe ɪ m b ɚ
chameleon	k ə m ˈi l i ə n
chameleons	k ˈæ m ˈɪ l ˈɪ ə n z
championship	t͡ʃ ˈæ m p i ə n ʃ ˌɪ p
chance	t͡ʃ ˈæ n s
change	t͡ʃ ˈe ɪ n d͡ʒ
changed	t͡ʃ ˈe ɪ n d͡ʒ d
changes	t͡ʃ ˈe ɪ n d͡ʒ ɪ z
changing	t͡ʃ ˈe ɪ n d͡ʒ ɪ ŋ
channel	t͡ʃ ˈæ n ə l
channels	t͡ʃ ˈæ n ə l z
chant	t͡ʃ ˈæ n t
chanted	t͡ʃ ˈæ n t ɪ d
chants	t͡ʃ ˈæ n t s
chaos	k ˈe ɪ ɑ s
chaotic	k e ɪ ɑ t ɪ k
chapter	t͡ʃ ˈæ p t ɚ
character	k ˈɛ ɹ ɪ k t ɚ
characters	k ˈɛ ɹ ɪ k t ɚ z
charcoal	t͡ʃ ˈɑ ɹ k ˌo ʊ l
charge	t͡ʃ ˈɑ ɹ d͡ʒ
charged	t͡ʃ ˈɑ ɹ d͡ʒ d
charges	t͡ʃ ˈɑ ɹ d͡ʒ ɪ z
charm	t͡ʃ ˈɑ ɹ m
chase	t͡ʃ ˈe ɪ s
chased	t͡ʃ ˈe ɪ s t
chases	t͡ʃ ˈe ɪ s ɪ z
chasing	t͡ʃ ˈe ɪ s ɪ ŋ
chasings	t͡ʃ ˈæ s ɪ ŋ z
chat	t͡ʃ ˈæ t
chats	t͡ʃ ˈæ t s
chatter	t͡ʃ ˈæ t ɚ
chatterer	t͡ʃ ˈæ t t ɚ ɚ
chatting	t͡ʃ ˈæ t t ɪ ŋ
cheap	t͡ʃ ˈi p
cheaper	t͡ʃ ˈi p ɚ
cheat	t͡ʃ ˈi t
check	t͡ʃ ˈɛ k
checked	t͡ʃ ˈɛ k t
checking	t͡ʃ ˈɛ k ɪ ŋ
checks	t͡ʃ ˈɛ k s
cheek	t͡ʃ ˈi k
cheeks	t͡ʃ ˈi k s
cheeky	t͡ʃ ˈi k i
cheer	t͡ʃ ˈɪ ɹ
cheered	t͡ʃ ˈɪ ɹ d
cheerful	t͡ʃ ˈɪ ɹ f ə l
cheerfully	t͡ʃ ˈɪ ɹ f ə l i
cheers	t͡ʃ ˈɪ ɹ z
cheese	t͡ʃ ˈi z
chef	ʃ ˈɛ f
chemical	k ˈɛ m ɪ k ə l
chemicals	k ˈɛ m ɪ k ə l z
cherry	t͡ʃ ˈɛ ɹ i
chess	t͡ʃ ˈɛ s
chest	t͡ʃ ˈɛ s t
chests	t͡ʃ ˈɛ s t s
chew	t͡ʃ ˈu
chewing	t͡ʃ ˈu ɪ ŋ
chews	t͡ʃ ˈu z
chh	t͡ʃ ə
chick	t͡ʃ ˈɪ k
chicken	t͡ʃ ˈɪ k ə n
chickens	t͡ʃ ɪ k ə n z
chicks	t͡ʃ ˈɪ k s
chief	t͡ʃ ˈi f
chihuahua	t͡ʃ ɪ w ˈɑ w ˌɑ
child	t͡ʃ ˈa ɪ l d
child's	t͡ʃ ˈa ɪ l d z
children	t͡ʃ ˈɪ l d ɹ ə n
children's	t͡ʃ ˈɪ l d ɹ ə n z
childrens	t͡ʃ ɪ l d ɹ ə n z
chili	t͡ʃ ˈɪ l l i
chill	t͡ʃ ˈɪ l
chilli	t͡ʃ ˈɪ l i
chills	t͡ʃ ˈɪ l z
chilly	t͡ʃ ˈɪ l l i
chimed	t͡ʃ ˈa ɪ m d
chimp	t͡ʃ ˈɪ m p
chimpanzees	t͡ʃ ˈɪ m p ˈæ n z ˈi z
chin	t͡ʃ ˈɪ n
china	t͡ʃ ˈa ɪ n ə
chinese	t͡ʃ a ɪ n ˈi z
chip	t͡ʃ ˈɪ p
chipper	t͡ʃ ˈɪ p p ɚ
chipping	t͡ʃ ˌi p ˌi ŋ
chips	t͡ʃ ˈɪ p s
chirp	t͡ʃ ˈɚ p
chirping	t͡ʃ ˈɚ p ɪ ŋ
chirps	t͡ʃ ˈɚ p s
chirruping	t͡ʃ ˈɪ ɹ ɹ ˌu p p ɪ ŋ
chocolate	t͡ʃ ˈɔ k ə l ɪ t
choice	t͡ʃ ˈɔ ɪ s
choir	k w ˈa ɪ ɚ
chomp	t͡ʃ ˈɑ m p
chomps	k ˈɑ m p s
choo	t͡ʃ ˈu
choose	t͡ʃ ˈu z
chooses	t͡ʃ ˈu z ɪ z
choosey	t͡ʃ ˈu s i
choosing	t͡ʃ ˈu z ɪ ŋ
chop	t͡ʃ ˈɑ p
chopping	t͡ʃ ˈɑ p ɪ ŋ
chops	t͡ʃ ˈɑ p s
chopstick	t͡ʃ ˈɑ p s t ˌɪ k
chopsticks	t͡ʃ ˈɑ p s t ˌɪ k s
chore	t͡ʃ ˈɔ ɹ
chores	t͡ʃ ˈɔ ɹ z
chorus	k ˈɔ ɹ ə s
choruses	k ˈɔ ɹ ə s ɪ z
chose	t͡ʃ ˈo ʊ z
chosen	t͡ʃ ˈo ʊ z ə n
choses	t͡ʃ ˈo ʊ z ə z
chow	t͡ʃ ˈa ʊ
chows	t͡ʃ ˈa ʊ z
christmas	k ɹ ˈɪ s m ə s
chuck	t͡ʃ ˈʌ k
chucking	t͡ʃ ˈʌ k ɪ ŋ
chuckle	t͡ʃ ˈʌ k ə l
chuckled	t͡ʃ ˈʌ k ə l d
chucks	t͡ʃ ˈʌ k s
chuff	t͡ʃ ˈʌ f
chuffed	t͡ʃ ˈʌ f t
chum	t͡ʃ ʌ m
chunk	t͡ʃ ˈʌ ŋ k
chunks	t͡ʃ ˈʌ ŋ k s
chunky	t͡ʃ ˈʌ ŋ k i
church	t͡ʃ ˈɚ t͡ʃ
churn	t͡ʃ ˈɚ n
chute	ʃ ˈu t
cicada	s ɪ k ˈe ɪ d ə
cicadas	s ɪ k ˈe ɪ d ə z
cinders	s i n d ə z
circle	s ˈɚ k ə l
circles	s ˈɚ k ə l z
circuit	s ˈɚ k ɪ t
circus	s ˈɚ k ə s
circuses	s ɚ k ə s ə z
cities	s ˈɪ t i z
city	s ˈɪ t i
civil	s ˈɪ v ə l
claim	k l ˈe ɪ m
claimed	k l ˈe ɪ m d
clan	k l ˈæ n
clang	k l ˈæ ŋ
clank	k l ˈæ ŋ k
clanks	k l ˈæ n k s
clap	k l ˈæ p
clapping	k l ˈæ p ɪ ŋ
claps	k l ˈæ p s
clash	k l ˈæ ʃ
clashes	k l ˈæ ʃ ɪ z
class	k l ˈæ s
classes	k l ˈæ s ɪ z
classmate	k l ˈæ s m ˌe ɪ t
classmates	k l ˈæ s m ˌe ɪ t s
classroom	k l ˈæ s ɹ ˌu m
clatter	k l ˈæ t ɚ
claw	k l ˈɔ
claws	k l ˈɔ z
clay	k l ˈe ɪ
clean	k l ˈi n
cleaned	k l ˈi n d
cleaner	k l ˈi n ɚ
cleaning	k l ˈi n ɪ ŋ
cleans	k l ˈi n z
cleanup	k l ˈi n ˌʌ p
clear	k l ˈɪ ɹ
cleared	k l ˈɪ ɹ d
clearing	k l ˈɪ ɹ ɪ ŋ
clearly	k l ˈɪ ɹ l i
clears	k l ˈɪ ɹ z
clench	k l ˈɛ n t͡ʃ
clenching	k l ˈɛ n t͡ʃ ɪ ŋ
cleric	k l ˈɛ ɹ ɪ k
clever	k l ˈɛ v ɚ
click	k l ˈɪ k
clicked	k l ˈɪ k t
clicking	k l ˈɪ k ɪ ŋ
clicks	k l ˈɪ k s
client	k l ˈa ɪ ə n t
clients	k l ˈa ɪ ə n t s
cliff	k l ˈɪ f
cliffs	k l ˈɪ f s
climate	k l ˈa ɪ m ɪ t
climb	k l ˈa ɪ m
climbed	k l ˈa ɪ m d
climber	k l ˈa ɪ m ɚ
climbers	k l ˈa ɪ m ə ɹ z
climbing	k l ˈa ɪ m ɪ ŋ
climbs	k l ˈa ɪ m z
cling	k l ˈɪ ŋ
clinging	k l ˈɪ ŋ ɪ ŋ
clings	k l ˈɪ ŋ z
clinic	k l ˈɪ n ɪ k
clink	k l ˈɪ ŋ k
clip	k l ˈɪ p
clips	k l ˈɪ p s
cloak	k l ˈo ʊ k
clobbered	k l ˈɑ b ɚ d
clobbering	k l ˈɑ b ɚ ɹ ɪ ŋ
clock	k l ˈɑ k
clocks	k l ˈɑ k s
clockwise	k l ˈɑ k w ˌa ɪ z
close	k l ˈo ʊ z
close	k l ˈo ʊ s
closed	k l ˈo ʊ z d
closely	k l ˈo ʊ s l i
closer	k l ˈo ʊ s ɚ
closer	k l ˈo ʊ z ɚ
closes	k l ˈo ʊ z ə z
closest	k l ˈo ʊ s ɪ s t
closing	k l ə ʊ z ɪ ŋ
closure	k l ˈo ʊ ʒ ɚ
cloth	k l ˈɔ θ
clothe	k l ˈo ʊ ð
clothes	k l ˈo ʊ ð z
clothing	k l ˈo ʊ ð ɪ ŋ
cloths	k l ˈɔ θ s
cloud	k l ˈa ʊ d
clouds	k l ˈa ʊ d z
cloudy	k l ˈa ʊ d i
cloven	k l ˈo ʊ v ə n
clown	k l ˈa ʊ n
club	k l ˈʌ b
clubs	k l ˈʌ b z
cluck	k l ˈʌ k
clucked	k l ˈʌ k t
clucking	k l ʌ k ɪ ŋ
clucks	k l ˈʌ k s
clue	k l ˈu
clues	k l ˈu z
clump	k l ˈʌ m p
clumps	k l ˈʌ m p s
clunk	k l ˈʌ ŋ k
co-ordinates	k ˌo ʊ ˌɔ ɹ d ə n ə t s
coach	k ˈo ʊ t͡ʃ
coal	k ˈo ʊ l
coalesce	k ˌo ʊ ə l ˈɛ s
coast	k ˈo ʊ s t
coastal	k ˈo ʊ s t ə l
coasting	k ˈo ʊ s t ɪ ŋ
coasts	k ˈo ʊ s t s
coat	k ˈo ʊ t
coated	k ˈo ʊ t ɪ d
coats	k ˈo ʊ t s
coax	k ˈo ʊ æ k s
cob	k ˈɑ b
cobble	k ˈɑ b ə l
cobblestone	k ˈɑ b ə l s t ˌo ʊ n
cobs	k ˈɑ b z
cobwebs	k ˈɑ b w ˌɛ b z
cocoa	k ˈo ʊ k o ʊ
coconut	k ˈo ʊ k ə n ˌʌ t
coconuts	k ˈo ʊ k ə n ˌʌ t s
cocoon	k ə k ˈu n
cod	k ˈɑ d
code	k ˈo ʊ d
